STATE,zipcode,A18425
AL,35653,276.0
AL,35653,509.0
AL,35654,0.0
AL,35654,64.0
AL,35654,0.0
AL,35654,0.0
AL,35654,193.0
AL,35654,0.0
AL,35660,0.0
AL,35660,0.0
AL,35660,102.0
AL,35660,0.0
AL,35660,202.0
AL,35660,236.0
AL,35661,0.0
AL,35661,90.0
AL,35661,132.0
AL,35661,142.0
AL,35661,1043.0
AL,35661,2483.0
AL,35670,0.0
AL,35670,0.0
AL,35670,127.0
AL,35670,0.0
AL,35670,354.0
AL,35670,240.0
AL,35671,0.0
AL,35671,64.0
AL,35671,0.0
AL,35671,0.0
AL,35671,296.0
AL,35671,0.0
AL,35672,0.0
AL,35672,0.0
AL,35672,138.0
AL,35672,0.0
AL,35672,261.0
AL,35672,0.0
AL,35673,0.0
AL,35673,0.0
AL,35673,101.0
AL,35673,115.0
AL,35673,504.0
AL,35673,0.0
AL,35674,0.0
AL,35674,51.0
AL,35674,138.0
AL,35674,138.0
AL,35674,666.0
AL,35674,1384.0
AL,35677,0.0
AL,35677,0.0
AL,35677,0.0
AL,35677,0.0
AL,35677,0.0
AL,35677,0.0
AL,35739,0.0
AL,35739,0.0
AL,35739,83.0
AL,35739,0.0
AL,35739,181.0
AL,35739,285.0
AL,35740,0.0
AL,35740,0.0
AL,35740,0.0
AL,35740,0.0
AL,35740,0.0
AL,35740,0.0
AL,35741,0.0
AL,35741,0.0
AL,35741,75.0
AL,35741,0.0
AL,35741,360.0
AL,35741,2042.0
AL,35744,0.0
AL,35744,0.0
AL,35744,0.0
AL,35744,0.0
AL,35744,0.0
AL,35744,0.0
AL,35746,0.0
AL,35746,0.0
AL,35746,0.0
AL,35746,0.0
AL,35746,0.0
AL,35746,0.0
AL,35747,0.0
AL,35747,0.0
AL,35747,74.0
AL,35747,0.0
AL,35747,231.0
AL,35747,315.0
AL,35748,0.0
AL,35748,0.0
AL,35748,123.0
AL,35748,0.0
AL,35748,903.0
AL,35748,2664.0
AL,35749,0.0
AL,35749,155.0
AL,35749,467.0
AL,35749,688.0
AL,35749,3008.0
AL,35749,2178.0
AL,35750,27.0
AL,35750,0.0
AL,35750,85.0
AL,35750,86.0
AL,35750,527.0
AL,35750,369.0
AL,35752,0.0
AL,35752,0.0
AL,35752,0.0
AL,35752,0.0
AL,35752,0.0
AL,35752,0.0
AL,35754,0.0
AL,35754,76.0
AL,35754,0.0
AL,35754,0.0
AL,35754,290.0
AL,35754,174.0
AL,35755,0.0
AL,35755,0.0
AL,35755,0.0
AL,35755,0.0
AL,35755,0.0
AL,35755,0.0
AL,35756,0.0
AL,35756,117.0
AL,35756,320.0
AL,35756,458.0
AL,35756,3558.0
AL,35756,3932.0
AL,35757,0.0
AL,35757,87.0
AL,35757,256.0
AL,35757,444.0
AL,35757,2655.0
AL,35757,2179.0
AL,35758,29.0
AL,35758,154.0
AL,35758,399.0
AL,35758,932.0
AL,35758,6582.0
AL,35758,13979.0
AL,35759,0.0
AL,35759,63.0
AL,35759,181.0
AL,35759,240.0
